level_0,index,Radiance,c2_1,c3_1,water_Reflectance_1,c2_2,c3_2,water_Reflectance_2,Mean_water_Reflectance,Standard_deviation_water
152,152,502.0,70.54471,64022310.0,108.1866,70.54471,56509410.0,95.4915,101.83905,8.976791297841338
153,153,503.0,71.44813,64898120.0,108.2805,71.44813,57246850.0,95.5148,101.89765,9.026713036593117
154,154,504.0,72.36209000000001,65745060.0,108.3084,72.36209000000001,57994400.0,95.5396,101.924,9.028905067614797
155,155,505.0,73.29359000000001,66579030.0,108.2885,73.29359000000001,58723260.0,95.5115,101.9,9.034703343220517
156,156,506.0,74.25144,67407760.0,108.2219,74.25144,59412190.0,95.3853,101.8036,9.076846907379238
157,157,507.0,75.17448,68198250.0,108.1467,75.17448,60108080.0,95.3172,101.73195,9.071826449232809
158,158,508.0,76.1073,69003790.0,108.0828,76.1073,60811130.0,95.2506,101.6667,9.073735637542015
159,159,509.0,77.07705,69861120.0,108.049,77.07705,61524860.0,95.156,101.6025,9.116727729838157
160,160,510.0,77.96303,70666420.0,108.0522,77.96303,62259910.0,95.1982,101.6252,9.089150565371881
161,161,511.0,78.85981,71464520.0,108.0305,78.85981,63026230.0,95.2743,101.6524,9.019995522171843
162,162,512.0,79.7918,72276290.0,107.9813,79.7918,63819680.0,95.3469,101.6641,8.933869916223315
163,163,513.0,80.61197,73145070.0,108.1663,80.61197,64553530.0,95.4617,101.814,8.983508812262622
164,164,514.0,81.47739,74002970.0,108.2742,81.47739,65277120.0,95.5072,101.8907,9.02763227540865
165,165,515.0,82.43755999999999,74831780.0,108.2111,82.43755999999999,66016090.0,95.4631,101.83709999999999,9.01419724656611
166,166,516.0,83.31745,75746400.0,108.3759,83.31745,66838620.0,95.6309,102.0034,9.01207592622255
167,167,517.0,84.26916,76633620.0,108.4087,84.26916,67643780.0,95.6914,102.05005,8.992489068383676
168,168,518.0,85.29,77468790.0,108.2776,85.29,68409090.0,95.615,101.94630000000001,8.953810327452786
169,169,519.0,86.18333,78289630.0,108.2904,86.18333,69179910.0,95.6896,101.99000000000001,8.910111128375453
170,170,520.0,87.0986,79120300.0,108.2897,87.0986,69921310.0,95.6997,101.9947,8.902474375138626
171,171,521.0,88.06,79968600.0,108.2557,88.06,70648850.0,95.6393,101.9475,8.921141994161957
172,172,522.0,89.02920999999999,80830330.0,108.231,89.02920999999999,71462260.0,95.687,101.959,8.86994746320405
173,173,523.0,90.0639,81737510.0,108.1886,90.0639,72272420.0,95.6607,101.92465,8.85856304402694
174,174,524.0,91.12069,82668980.0,108.1522,91.12069,73057090.0,95.5774,101.8648,8.891726352064595
175,175,525.0,92.08624,83579160.0,108.1962,92.08624,73793870.0,95.5291,101.86265,8.95699230796812
176,176,526.0,93.05391,84417310.0,108.1456,93.05391,74535750.0,95.4861,101.81585,8.951618296431104
177,177,527.0,94.02659,85219820.0,108.0438,94.02659,75287930.0,95.4519,101.74785,8.903817878022894
178,178,528.0,94.98517,86085340.0,108.0395,94.98517,76051660.0,95.447,101.74325,8.9042421420916
179,179,529.0,96.00699,86944200.0,107.9567,96.00699,76804470.0,95.3663,101.66149999999999,8.902757217851109
180,180,530.0,97.00465,87769870.0,107.8605,97.00465,77506480.0,95.2479,101.55420000000001,8.91845498839345
181,181,531.0,97.85696999999999,88532180.0,107.8497,97.85696999999999,78100250.0,95.1417,101.4957,8.985912975318644
182,182,532.0,98.72483000000001,89250940.0,107.7699,98.72483000000001,78747210.0,95.0864,101.42815,8.968588859179581
183,183,533.0,99.51143,89899270.0,107.6943,99.51143,79346670.0,95.053,101.37365,8.938748953013503
184,184,534.0,100.1278,90457330.0,107.6958,100.1278,79802030.0,95.01,101.3529,8.970215204776306
185,185,535.0,100.7518,90969480.0,107.635,100.7518,80276760.0,94.9832,101.3091,8.946173574215967
186,186,536.0,101.3146,91439770.0,107.5902,101.3146,80684230.0,94.9352,101.2627,8.94843631591576
187,187,537.0,101.7677,91867970.0,107.6129,101.7677,80968680.0,94.8457,101.2293,9.027773696764891
188,188,538.0,102.171,92201580.0,107.5774,102.171,81333000.0,94.8961,101.23675,8.96703322426096
189,189,539.0,102.4937,92460880.0,107.5402,102.4937,81615100.0,94.9257,101.23295,8.9197984912777
190,190,540.0,102.7408,92663320.0,107.5165,102.7408,81769510.0,94.8765,101.19649999999999,8.937829714197962
191,191,541.0,103.0927,92904300.0,107.4283,103.0927,81999690.0,94.8189,101.1236,8.916192246693647
192,192,542.0,103.3425,93158550.0,107.4616,103.3425,82218160.0,94.8415,101.15155,8.923758289252353
193,193,543.0,103.49,93407140.0,107.5949,103.49,82409680.0,94.927,101.26095000000001,8.957557993393058
